,Date,User,Tweet,Likes
0,2022-01-30 22:51:10+00:00,elonmusk,Halo Infinite campaign is good,282421
1,2022-01-30 21:19:35+00:00,elonmusk,"@heydave7 I’m driving this program personally, as is the case for almost all new programs",16471
2,2022-01-30 20:16:10+00:00,elonmusk,@WSJ https://t.co/TowWorRqW9,36391
3,2022-01-30 20:04:38+00:00,elonmusk,"For reasons unknown, @potus is unable to say the word “Tesla”",94392
4,2022-01-30 19:51:24+00:00,elonmusk,"@aginnt If the government had the mandate of the people, there would be a significant counter-protest. There is not, therefore they do not.",20950
5,2022-01-30 19:43:44+00:00,elonmusk,@GailAlfarATX @POTUS @Tesla @JohnnaCrider1 @SawyerMerritt @WholeMarsBlog @teslaownersSV @TeslaOwnersEBay @Kristennetten @live_munro @BillyM2k @Grimezsz 🔥🔥,8780
6,2022-01-30 19:42:17+00:00,elonmusk,@WSJ How many gene sequence changes to Covid-19 before it isn’t “Covid-19” anymore? OG Covid-19 ended a long time ago.,16849
7,2022-01-30 19:09:09+00:00,elonmusk,@aginnt Protesting in a Canadian winter shows real commitment!,27218
8,2022-01-30 18:54:52+00:00,elonmusk,@aginnt It would appear that the so-called “fringe minority” is actually the government,74882
9,2022-01-30 18:52:01+00:00,elonmusk,So many Hitlers! https://t.co/52sUuPcB93,244925
10,2022-01-30 18:21:35+00:00,elonmusk,@EuropeSpace360 @ArianeGroup A step in the right direction,3960
11,2022-01-30 18:09:43+00:00,elonmusk,@CNBCClosingBell @SaraEisen @BrianDeeseNEC Great interviewer!,12307
12,2022-01-30 17:38:35+00:00,elonmusk,https://t.co/QEwmhecTmE,308859
13,2022-01-30 16:53:09+00:00,elonmusk,"@Liv_Boeree If Canadian government is suppressing peaceful protests, that‘s where fascism lies &amp; cartoonist is just a shill https://t.co/hcV7Akn0Jt",7217
14,2022-01-30 09:31:05+00:00,elonmusk,@WholeMarsBlog Yup,6096
15,2022-01-30 08:26:30+00:00,elonmusk,https://t.co/wTIHLyVkYw,386072
16,2022-01-30 00:42:37+00:00,elonmusk,"@WholeMarsBlog Now that the big automotive advertisers are making EVs, you will see far fewer articles about EVs catching on fire. 

It is not surprising that internal combustion engine cars have a tendency to combust externally too.",16479
17,2022-01-29 23:39:10+00:00,elonmusk,Just rewatched True Romance ♥️,108446
18,2022-01-29 22:50:33+00:00,elonmusk,@karpathy The ratio of machine to human compute skyrockets,7947
19,2022-01-29 22:45:14+00:00,elonmusk,@heydave7 True,6908
20,2022-01-29 14:42:03+00:00,elonmusk,@jordanbpeterson Voters should call their elected politicians now to make it clear how they feel,16549
21,2022-01-29 11:21:38+00:00,elonmusk,Lie back and think of Mars,198478
22,2022-01-29 11:21:03+00:00,elonmusk,@PPathole @SpaceX We need serious tonnage to Mars,9483
23,2022-01-29 06:48:49+00:00,elonmusk,https://t.co/ryK36jvxNx,214074
24,2022-01-29 05:25:18+00:00,elonmusk,The Universe is a Hydrogen Sonata,121215
25,2022-01-28 23:57:49+00:00,elonmusk,@Austen There are many faux 🦄,9270
26,2022-01-28 23:39:11+00:00,elonmusk,@SawyerMerritt It has been a very long road,12298
27,2022-01-28 21:00:16+00:00,elonmusk,@DineshDSouza Interesting ideas,65986
28,2022-01-28 20:59:08+00:00,elonmusk,@Teslaconomics @stevenmarkryan There will only be EVs in the future,5898
