,Date,User,Tweet
0,2022-04-03 23:30:03+00:00,ZaidZamanHamid,"@ZaayaTweets silly comments will get you an instant block. 
You have 5 minutes to delete this tweet before we send you to trash."
1,2022-04-03 23:23:25+00:00,ZaidZamanHamid,"Pakistan has experimented with this corrupt parliamentary democracy &amp; all 3 parties have had their share &amp; failed. 

Do you think it is time to change the system to Presidential model.. 

OR

Should we continue with same rotten parliamentary system."
2,2022-04-03 23:10:47+00:00,ZaidZamanHamid,"This is the moment for IK now. 
DO NOT go into the next elections. In fact, block them till a referendum is done in the country to change the parliamentary democracy into a Presidential one with a completely new model where MNAs do not have any financial incentive to serve."
3,2022-04-03 23:06:25+00:00,ZaidZamanHamid,"Many PTI members are suggesting that in next elections IK can get 2/3 majority. 
I do not see this happening without active political engineering by ISI. Since, ISI will not do that, the next parliament will also be identical to the present dissolved one - utter chaos &amp; confusion"
4,2022-04-03 21:29:28+00:00,ZaidZamanHamid,"If the Constitution does not provide the remedy to the crime of treason within pol parties, then we need a new Constitution, a new system of governance where hostile powers cannot bring about regime change at will. 
 
If the SC does not deliver, then shut it down too. 

Enough!!!"
5,2022-04-03 21:24:25+00:00,ZaidZamanHamid,"All the suspects on the Regime change plot must be put on Exit control list. Once the noose tightens around their necks, they will all try to escape. 

The state of Pak, Army, ISI &amp; SC are on trial here. They cannot blunder or be negligent in defending the land &amp; the people."
6,2022-04-03 21:19:01+00:00,ZaidZamanHamid,"Pak army &amp; ISI must NEVER miss this opportunity. 
You can stay neutral politically, BUT you cannot stay neutral when the enemy attacks the country or buys traitors to demolish the state &amp; the Govt. 
For far too long the State of Pakistan have been soft on internal enemies. Enuf!"
7,2022-04-03 21:16:46+00:00,ZaidZamanHamid,"The SC is hearing the Regime change conspiracy case now. This is the most brilliant God given opportunity for Army, ISI &amp; IK to bring all the evidence to totally destroy all political traitors for all times. 
This is another ""Agartala Sazish"" or ""MemoGate"". 
Nail them!

#surprise"
8,2022-04-03 20:47:39+00:00,ZaidZamanHamid,"Note the date of this tweet..

Today Imran khan became a victim of this decadent &amp; decomposed parliamentary democracy.

The American regime change plan succeeded with only few million dollars used to purchase treacherous National assembly members and the entire system collapsed. https://t.co/dK222TMemZ"
9,2022-04-03 19:49:24+00:00,ZaidZamanHamid,"مجھ سے یہ جاہلانہ سوال نہ کریں کہ کون سا جرنیل ڈنڈے والی سرکار لائے گا، یہ فوج غزوہ ہند کیسے  لڑے گی، کون بدلے گا پاکستان کا نظام۔۔۔

اللہ نے جب اپنا کام کروانا ہوتا ہے ہے تو وہ ناک میں رسی ڈال کر کام کروائے گا، چاہے کسی کی مرضی ہو یا نہ ہو۔۔

اللہ پاک فوج کو مجبور کرے گا۔۔۔ https://t.co/vRDeA8cSgU"
10,2022-04-03 19:43:53+00:00,ZaidZamanHamid,"تینوں جمہوری ادوار کے بعد یہ بات اب اندھے گونگے اور بہرے کو بھی نظر آرہی ہے کہ اس غلیظ پارلیمانی جمہوریت میں کوئی خیر نہیں ہے۔۔
مگر پاکستان کا نظام اور اسے چلانے والے واقعی اندھے گونگے اور بہرے ہیں۔۔لہذا دوبارہ اسی الیکشن کا  فحش ڈرامہ کیا جائے گا۔۔
یہاں تک کہ ہلاکو خان   آ جاے۔۔ https://t.co/SDedPbQoO1"
11,2022-04-03 19:41:01+00:00,ZaidZamanHamid,"بابے کہتے تھے کہ ڈنڈے والی سرکار کے آنے سے پہلے پاکستان کا ایوان مچھلی بازار بن جائے گا۔
آئے دن کمزور حکومتیں بنیں گی اور ٹوٹیں گی۔وزیراعظم آئیں گے اور جائیں گے۔ 
یہاں تک کہ فوج مجبور ہوجائے گی کہ معاملات کو اپنے ہاتھ میں لے کر سختی کرے اور پاکستان کے دشمنوں کو زمین میں گھسیڑ دے۔ https://t.co/cqp6whbAX8"
12,2022-04-03 19:09:57+00:00,ZaidZamanHamid,"@UnknownMarkhor They may not be able to kill all but certainly they are going to kill millions..... Destroy their property and rape the women .... Gujarat style genocide at a grand scale....

You can only argue about the timeline but not about the plans.."
13,2022-04-03 18:58:52+00:00,ZaidZamanHamid,"""I can promise this to you ... By 2024, India will become an entirely Hindu country (all muslims will be killed) and you should note this down that it will happen""

A Hindu Zionist repeating the official Modi govt narrative &amp; Muslim genocide plans. 

#GhazwaeHind https://t.co/lj7jiP380e"
14,2022-04-03 08:26:18+00:00,ZaidZamanHamid,"ان کو جتنا بھی رسوا کرو کم ہے، مگر سنجیدگی کی بات یہ ہے کہ دشمنوں کا حکومت تبدیل کرنے کا پلان کامیاب تو ہو گیا۔۔
فی الحال تو اپوزیشن مزاحمت کرے گی سپریم کورٹ جا کر۔۔
پھر عبوری حکومت کا مرحلہ آئے گا۔۔
پھر دوبارہ وہی غلیظ جمہوریت اور اس کا ننگا ناچ۔۔
اور پھر اسی طرح کی پارلیمان۔۔ https://t.co/UChtY1OzlC"
15,2022-04-03 07:49:44+00:00,ZaidZamanHamid,"جب تک اسمبلیاں تحلیل نہیں ہوتی یہ وزیراعظم رہیں گے۔۔
ان کو فوری طور پر کچھ لوگوں کو برطرف کرنا چاہیے۔۔۔
اسمبلی تحلیل ہونے کے بعد ان کا اختیار بھی ختم ہوجائے گا۔۔۔
جوابی کارروائی فورا کرنی چاہیے۔۔
جیسے گورنر سرور کو تبدیل کیا ہے۔۔اور بھی بہت ہیں جن کو برطرف کرنے کی ضرورت ہے۔۔"
16,2022-04-03 07:31:20+00:00,ZaidZamanHamid,"بہت ہی عمدہ فیصلہ۔۔ یہی ہونا چاہیے تھا۔۔
غیر ملکی طاقتوں کے کہنے پر پیسے لگا کر پاکستان کے ممبر پارلیمان خرید کر حکومت تبدیل نہیں کی جا سکتی۔۔۔
دنیا کا کوئی قانون اس کی اجازت نہیں دے سکتا۔۔۔

اب وزیراعظم کو فوری طور پر جوابی کارروائی کرنی ہے اس سے پہلے کے مخالفین سنبھل سکیں۔۔ https://t.co/vDxasTN75V"
17,2022-04-03 07:15:31+00:00,ZaidZamanHamid,"@AdeelAh08883826 Allah is already punishing you dear for supporting this filthy political system.....
You choose democracy and the humiliation that comes with it....

I will always support Pakistani armed forces...
Mistakes of one general do not represent the entire institution."
18,2022-04-03 06:45:09+00:00,ZaidZamanHamid,"To uplift your spirit and soul in these depressing times....
My grandmother was amongst those Muslim ladies who contributed their jewellery for this #Ottoman project.... alhamdolillah. 

My father used to tell these romantic tales with great emotional passion.....🕋❤️🇵🇰 https://t.co/LkEsHfsLYy"
19,2022-04-03 05:32:41+00:00,ZaidZamanHamid,@17_uq جنرل حمید گل کس فوج کے تھے؟
20,2022-04-03 05:26:21+00:00,ZaidZamanHamid,"@masoodkhan88 جب آپ ایک مسلمان ملک کی حکمرانی کی ذمہ داری لیتے ہیں، تو وہ کسی ایسے شخص کو نہیں دی جاسکتی جو ایک کافر ملک سے وفاداری کی قسم کھا کر بیٹھا ہو۔۔۔
آپ خود بتائیں کیا یہ ممکن ہے کہ آپ ایک  ساتھ تاج برطانیہ کے وفادار بھی ہوں اور پاکستان کے بھی؟
عام آدمی میں اور حکمران میں فرق ہوتا ہے۔"
21,2022-04-03 05:18:54+00:00,ZaidZamanHamid,"یار اگر اس کو برطرف کیا تھا تو ساتھ ہی  کچھ اور  کو بھی کردیتے۔۔ مسئلہ حل ہو جاتا۔۔

آپ کی اپنی کابینہ میں آدھے سے زیادہ لوگ یا ملکہ برطانیہ کے وفادار ہیں یا امریکی آئین کے۔۔
یہ کیسے ممکن ہے کہ کوئی شخص بیک وقت دو دشمن ملکوں سے وفاداری کرے؟ 
اللہ کی عبادت اور شیطان کی پوجا ؟؟ https://t.co/oFrV4o8eIy"
22,2022-04-03 05:10:39+00:00,ZaidZamanHamid,"@EURPK آپ مجھے آسان اردو میں یہ سمجھا دیں کہ کیا یہ ممکن ہے کہ کوئی شخص بیک وقت دو دشمن ملکوں کا وفادار ہو؟
 
اس نے یہ قسم بھی کھائی ہو کہ تاج برطانیہ اور ملکہ کا وفادار رہے گا اور یہ قسم بھی کھائی ہے کہ میں پاکستان کے مفادات کا تحفظ کروں گا ؟

میرا خدا اللہ بھی ہے اور شیطان بھی ؟"
23,2022-04-03 00:19:27+00:00,ZaidZamanHamid,"@haris_awais17 پورے ملک میں لاک ڈاؤن بھی لگا۔۔دو سال تعلیمی نظام بھی تباہ ہوا۔۔۔اور پورے ملک کے کروڑوں افراد کو زہریلے خطرناک ٹیکے لگائے گئے۔
جبکہ اس میں سے کسی کی بھی ضرورت نہیں تھی۔۔
سرکاری ریکارڈ کے مطابق دو کروڑ لوگوں کی نوکری گیء یا آمدنی میں کمی ہوئی۔

کیا اس کو شاندار پرفارمنس کہتے ہیں؟۔"
24,2022-04-03 00:07:12+00:00,ZaidZamanHamid,"یہ ساری تباہی کرونا کے لاک ڈاؤن سے شروع ہوئی تھی اور چلتے چلتے یہاں تک پہنچ گئی۔۔۔
ایک معمولی سے زکام کی خاطر پورا ملک تباہ کروالیا۔۔۔۔
زکام سے چھینکیں مار لیتے تو بہتر تھا۔۔
پوری دنیا کی معیشت کے ساتھ انھوں نے یہی کیا۔۔
اسی کی وجہ سے  خوراک کا قحط بھی پیدا ہو رہا ہے۔۔ https://t.co/7vW8kEL8My"
25,2022-04-02 20:27:52+00:00,ZaidZamanHamid,"@almas_Jafa_k7 خان ملک کا وزیراعظم تھا۔۔۔اس نے جس کو چاہا عہدے پر لگایا جس کو چاہا عہدے سے ہٹایا۔۔۔
اگر اس وقت غدار پکڑ کر عہدوں سے ہٹا دیتے تو آج یہ دن نہ دیکھنا پڑتا نا۔
افراتفری اور انتشار اب بھی پھیل رہا ہے اور اس وقت بھی پھیلتا، مگر اس وقت یہ زیادہ مضبوط ہوتے۔۔
اب تو گھیرے میں آگئے۔۔"
26,2022-04-02 20:12:15+00:00,ZaidZamanHamid,"اب پچھتاوے کیا ہووت ہے جب چڑیاں چگ گئیں کھیت۔۔۔۔🙄
نواز شریف کی میڈیکل رپورٹ کے بارے میں جو یہ بیان کر رہا ہے ہے وہ پوری پاکستانی ریاست کے لئے شرمناک ہے۔۔۔۔
اگر اس وقت اپنی صفوں کے غدار پکڑ لیتے تو آج یہ دن نہ دیکھنا پڑتا۔۔
ایک حکمران کو دوست اور دشمن کی پہچان ہونی چاہیے۔۔ https://t.co/Dht3x0FuG7"
